id,followers,genres,name,popularity
6Rw6QrPXqHRyJwdPtY6ArB,25417.0,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",Danielle Peck,25.0
5RVF8Kz0X6fokWNLx0D7hc,253.0,[],Kat Glaze,24.0
20MEfMibPBZrghi8rMrdjv,3.0,[],Pleymo;Flavien;Bob,0.0
4N6Ei0AqLoDqKEjgm6mC79,29.0,[],Link Perceau,0.0
7d4gIZ5DzEgVtzSPpduqsP,32.0,[],SUBWAVE,0.0
3Np25cMgPvo962UApII9TC,23.0,[],Ranz44,4.0
4kb5r9kWICAR9WCHrq96xS,68.0,[],Carlos Melendez,4.0
5g61dVacQnYYkt0Nz8WPXZ,35.0,[],AbsoluteZero,0.0
5MTZk5bU7tJj7niirQ3VNB,11.0,[],Edmond Taillet,0.0
0h1hOQJLmPC5vr5ZiDKqpn,2.0,[],Teribus,0.0
4ThfF4OjkUJn4adel3DCAA,46.0,[],Kittiwake,0.0
2aRaf5TPWTjAnzn0n0RFMV,49.0,['barbershop'],Voices In Harmony,0.0
34XIVvzmXQrxyXtvZjM7My,7.0,[],That Should Help,0.0
0FqKe9hPAp2NQRKcr8jau7,0.0,[],Lino & Jamadom,0.0
11QSBNv1KYqgSMnEDNjB38,52.0,[],Konniption Fit,0.0
18KnUqz6bt99kVkCyQd1QL,5280.0,['nwobhm'],Witch Cross,17.0
